prefix,빈도 기반_예측,빈도 기반_신뢰도(%),가중치 기반_예측,가중치 기반_신뢰도(%),시뮬레이션 승률(%)
bpbpppbbbb,b,54.47,b,61.86,-
bppbppbbpb,b,54.47,b,57.08,-
bppppppbpb,p,54.46,p,63.09,-
pbppbbbpbb,b,54.46,b,74.46,-
bpbbpbpbbb,p,54.4,b,52.79,-
pbbpbpbpbp,p,54.39,b,65.94,-
pbpbpbpbbp,b,54.39,b,51.28,-
bppppbbbbp,b,54.37,p,55.8,25.0
bpppppbbpb,p,54.37,b,63.85,-
pbbbpbpppb,p,54.37,p,70.39,50.0
pbpbbbbppp,b,54.35,p,71.8,-
bppbppbpbb,p,54.31,p,72.99,-
pbbpbpbbpb,p,54.31,b,68.59,-
pbppbppbbp,b,54.31,b,74.7,-
bpbpbbpbbb,b,54.29,p,52.59,-
bppbpbpppp,b,54.29,b,62.7,-
bppppbbbpb,b,54.29,b,92.27,-
pbppppbppb,p,54.26,p,68.34,50.0
pbpppppppp,b,54.26,p,57.37,-
bpbbppppbp,b,54.24,p,67.62,-
bpbpbbbppp,b,54.21,b,68.57,100.0
bpbpbbpbpp,b,54.17,p,54.48,-
bppbbbpppp,b,54.17,b,68.04,33.3
bpppbpppbb,b,54.17,b,66.59,-
pbbbbpbpbb,b,54.13,p,68.49,60.0
pbbppppppb,b,54.08,p,69.45,-
pbpppbpbbb,p,54.08,p,81.53,-
pbbbpppbbp,b,54.05,p,59.74,-
pbbbppbbpb,b,54,p,60.52,100.0
pbbpbbbbbp,p,54,b,62.64,50.0
pbpbpbpppp,p,54,p,67.89,0.0
pbppbbbppb,b,54,p,50.44,-
bpbbbpbpbp,b,53.98,b,75.84,0.0
pbppbbpbpb,b,53.97,b,55.46,100.0
bpbbbppbpb,b,53.91,p,61.14,-
bpbbpbpppb,b,53.91,p,52.85,-
bppbbbbbbp,p,53.91,p,53.83,-
pbbppbpppp,b,53.91,p,77.14,-
pbpbpbbbbb,p,53.91,p,68.99,-
pbppbpbpbb,b,53.91,p,50.09,-
bppbbbbbpp,p,53.85,b,64.85,100.0
bppbbpbpbp,p,53.85,b,67.29,50.0
bppbpppppb,b,53.85,b,74.11,-
bpppbpbppp,b,53.85,b,67.31,-
bpppppbpbb,p,53.85,p,61.83,-
bppppppbbp,p,53.85,b,54.49,100.0
pbbbppbpbb,b,53.85,b,94.08,-
pbbppbbppp,b,53.85,p,73.27,0.0
pbppppbppp,p,53.85,p,61.48,100.0
pbppbbpbbb,b,53.78,b,57.56,-
bpppbbbbbb,b,53.77,p,75.69,-
bpppppbbbp,p,53.77,b,85.57,-
pbbbbpbpbp,p,53.77,b,56.64,100.0
pbbppbppbp,b,53.77,b,76.44,0.0
bpbbbbbbbp,b,53.72,b,74.29,-
bpbpbpbppp,p,53.7,p,68.7,-
pbbpppbppb,p,53.7,b,53.34,-
pbpbbbpbpb,b,53.7,p,64.69,66.7
pbbbbbbbbp,b,53.64,b,53.47,100.0
bpbbpbbbbp,p,53.62,p,71.68,-
pbppppbpbp,b,53.61,b,56.34,-
bpbbbbbbpb,b,53.57,b,75.82,100.0
bpbpbpppbb,p,53.57,p,53.44,-
pbbbbpbbbb,p,53.57,b,60.9,40.0
pbppbbppbp,b,53.57,b,73.3,100.0
bpppbbpbpb,b,53.54,b,74.02,-
pbppbbpppp,b,53.54,b,58.61,50.0
bpbbppbbpp,b,53.51,b,57.71,-
pbppbbppbb,p,53.49,p,79.75,-
bppbpppppp,p,53.47,b,70.08,-
pbpbbppbpp,b,53.47,b,58.88,40.0
bpbbpbpppp,b,53.45,p,55.21,-
pbbpbbpbpp,p,53.44,p,63.44,-
bpbbppbbbb,p,53.4,p,57.95,100.0
bpbbpbpbpp,b,53.39,p,53.87,-
pbbpbpbpbb,b,53.39,p,68.48,60.0
bpbbpppbbp,b,53.38,p,50.95,-
bpbbppbbbp,b,53.33,p,68.19,-
bpbbppbppp,p,53.33,p,80.98,28.6
pbpbbpbpbp,b,53.33,b,53.42,66.7
pbppbppbpb,b,53.33,p,71.29,100.0
bpbpppbbpp,b,53.27,p,53.66,0.0
pbbbppbpbp,p,53.27,p,56.77,-
pbbbppbppp,b,53.26,p,51.61,0.0
pbpbbbbbbb,p,53.23,p,78.13,-
bpbbpbbbbb,b,53.21,b,64.48,-
