run_id,grid_string_id,step,window_size,prefix,confidence,predicted,actual,is_correct,sim_win_rate_pct
3fed7a4f-5725-4e59-abf0-008858c12588,3503,23,9,bpbpbpbb,50.0,p,p,1,47.05882352941177
3fed7a4f-5725-4e59-abf0-008858c12588,3503,24,9,pbpbpbbp,51.10294117647059,p,b,0,41.37931034482759
3fed7a4f-5725-4e59-abf0-008858c12588,3503,25,9,bpbpbbpb,51.5370705244123,b,p,0,45.16129032258065
3fed7a4f-5725-4e59-abf0-008858c12588,3503,26,9,pbpbbpbp,51.82481751824818,p,b,0,48.717948717948715
3fed7a4f-5725-4e59-abf0-008858c12588,3504,1,9,bpbppbbb,51.46299483648882,p,b,0,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3504,3,9,bppbbbbb,56.28517823639775,b,p,0,40.0
3fed7a4f-5725-4e59-abf0-008858c12588,3504,4,9,pbbbbbpb,50.75757575757576,b,b,1,54.83870967741935
3fed7a4f-5725-4e59-abf0-008858c12588,3504,5,9,bpbbbpbb,50.23474178403756,b,b,1,44.44444444444444
3fed7a4f-5725-4e59-abf0-008858c12588,3504,6,9,pbbbpbbb,51.182432432432435,p,p,1,36.8421052631579
3fed7a4f-5725-4e59-abf0-008858c12588,3504,7,9,bpbbbpbp,51.048951048951054,b,b,1,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3504,8,9,pbbbpbpb,51.99306759098788,p,b,0,53.7037037037037
3fed7a4f-5725-4e59-abf0-008858c12588,3504,9,9,bpbpbbpp,50.0,b,p,0,58.62068965517241
3fed7a4f-5725-4e59-abf0-008858c12588,3504,10,9,pbpbbppp,54.96323529411765,b,p,0,33.333333333333336
3fed7a4f-5725-4e59-abf0-008858c12588,3504,11,9,bpbbpppp,51.85909980430529,b,b,1,37.93103448275862
3fed7a4f-5725-4e59-abf0-008858c12588,3504,14,9,pbbbppbb,53.32068311195446,b,p,0,41.935483870967744
3fed7a4f-5725-4e59-abf0-008858c12588,3504,15,9,bppbbppb,50.17857142857143,b,p,0,41.1764705882353
3fed7a4f-5725-4e59-abf0-008858c12588,3504,17,9,bppbpppb,50.78125,b,b,1,50.0
3fed7a4f-5725-4e59-abf0-008858c12588,3504,19,9,bpppbbbp,51.32575757575758,p,p,1,51.92307692307692
3fed7a4f-5725-4e59-abf0-008858c12588,3504,20,9,pbbbpppp,55.18590998043052,b,b,1,47.82608695652174
3fed7a4f-5725-4e59-abf0-008858c12588,3504,21,9,bppppbpb,52.25225225225225,b,p,0,53.44827586206897
3fed7a4f-5725-4e59-abf0-008858c12588,3504,22,9,pbpbpbbb,50.51546391752577,p,p,1,48.0
3fed7a4f-5725-4e59-abf0-008858c12588,3504,23,9,bpbpbbbp,51.35135135135135,b,b,1,53.84615384615385
3fed7a4f-5725-4e59-abf0-008858c12588,3504,25,9,bpbbbpbp,51.048951048951054,b,p,0,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3504,26,9,pbbbpbpp,50.99601593625498,p,p,1,40.0
3fed7a4f-5725-4e59-abf0-008858c12588,3504,27,9,bpbppppb,52.36363636363637,b,b,1,48.83720930232558
3fed7a4f-5725-4e59-abf0-008858c12588,3504,28,9,pbppppbb,50.36231884057971,b,b,1,47.36842105263158
3fed7a4f-5725-4e59-abf0-008858c12588,3505,2,9,pbbpbbpp,50.99818511796733,p,p,1,56.25
3fed7a4f-5725-4e59-abf0-008858c12588,3505,3,9,bpbbpppp,51.85909980430529,b,b,1,37.93103448275862
3fed7a4f-5725-4e59-abf0-008858c12588,3505,5,9,bppppbpp,50.19011406844106,p,p,1,47.22222222222222
3fed7a4f-5725-4e59-abf0-008858c12588,3505,6,9,pbpppbpp,50.965250965250966,p,b,0,57.142857142857146
